BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER,BORDER
BORDER,START,FLOOR,DOOR,FLOOR,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,FLOOR,FLOOR,WALL,FLOOR,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,KEY:is;Red:destroy;Red:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,WALL,WALL,WALL,WALL,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,FLOOR,CHEST,FLOOR,WALL,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,FLOOR,FLOOR,FLOOR,WALL,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,FLOOR,FLOOR,FLOOR,WALL,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,WALL,DOOR,WALL,WALL,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,FLOOR,FLOOR,FLOOR,FLOOR,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
BORDER,FLOOR,FLOOR,FLOOR,FLOOR,FLOOR,FLOOR,WALL,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,FLOOR:reveal;2w,BORDER
